1,Kale Salad with Farro and Honey Dijon Dressing,,,http://www.yummly.com/recipe/external/Kale-Salad-with-Farro-and-Honey-Dijon-Dressing-1472383,900,1,,,https://lh3.googleusercontent.com/qz1IXaP-HhglktkNEpaxKEuJHqW6g9iBKy901HSmhOSMk-nrfX6KTDI18EfNlGEDyj7ObiXMohMiojwMwfsyGw=s90,,
2,Obsessively Good Avocado Cucumber Salad,,,http://www.yummly.com/recipe/external/Obsessively-Good-Avocado-Cucumber-Salad-1066048,900,1,,,http://lh3.googleusercontent.com/Vfv_kuyk_AV_ckczL_ZiG2GNVWdz0HdWmNVArvyJOFyike37tgrS9XXjU9Yfc02a_0Im_GGG6XaTx-lMSs07YA=s90,,
3,Parmesan Zucchini Noodles with Tomato & Basil,,,http://www.yummly.com/recipe/external/Parmesan-Zucchini-Noodles-with-Tomato-_-Basil-1272003,1200,1,,,http://lh3.googleusercontent.com/I8RXURD33cEVpm02UB_3kJJM8MdiBkDtedmtFRJ0rapmZpqfIGmcH80-Y_VgbN979dDCvQoUA9ohrecbfBFJGg=s90,,
4,Toasted Corn & Zucchini Saute,,,http://www.yummly.com/recipe/external/Toasted-Corn-_-Zucchini-Saute-1469566,1500,1,,,http://lh3.ggpht.com/GE9nIh_zq6pXCZUdli7ZjRC7cxqeVyWTUuAUEZYcUPxJ65ove4wl_2pR7LFAemON9LzpzpsYArekEX0UpWlxjdY=s90,,
5,Sautéed Spinach with Pancetta and Dried Cranberries ,,,http://www.yummly.com/recipe/external/Sauteed-Spinach-with-Pancetta-and-Dried-Cranberries--1451321,1800,2,,,https://lh3.googleusercontent.com/6LBhKTLO12phS9er5SzdY_W1abLJ7qvuBOf8UamgJVatl46dFd3k65vKa1OlddCSSsOnjuDVSWlNiZXmTKES=s90,,
6,"Black Bean Salad with Corn, Red Peppers and Avocado in a Lime-Cilantro Vinaigrette",,,http://www.yummly.com/recipe/external/Black-Bean-Salad-with-Corn_-Red-Peppers-and-Avocado-in-a-Lime-Cilantro-Vinaigrette-630473,1800,2,,,http://lh4.ggpht.com/L6sghmfL89AkXmpXFJhe9u5XxSwXRRw-jh3I_KTVnH08U5cO4qgjMZfgJmfb7xdhjsUE91N4mCq7bwO8xlexNf4=s90,,
7,Mango Tzatziki Shrimp Bites,,,http://www.yummly.com/recipe/external/Mango-Tzatziki-Shrimp-Bites-1382065,1500,1,,,http://lh3.googleusercontent.com/goI6_E7bZumVPcE5HWYuZhCoeT-KBrEp57Nn2TtFHBdudMe1HFG8BlsbK07ilH0qEbYLQ1hWh6WU-XFxbk7j=s90,,
8,Grilled Southwest Salmon,,,http://www.yummly.com/recipe/external/Grilled-Southwest-Salmon-1453349,1500,1,,,https://lh3.googleusercontent.com/IADxxllksk8uBIFbMtUYmQ5mI-xvsPpdUWoiK_MuNtzd2ARgJhkV1WDdwctdowYEUSh95sSDqOykokLcxSdmkA=s90,,
9,"Perfect for Quick Lunches, Fun Appetizers, and easy Lunchbox Additions!",,,http://www.yummly.com/recipe/external/Perfect-for-Quick-Lunches_-Fun-Appetizers_-and-easy-Lunchbox-Additions_-1448893,1800,2,,,https://lh3.googleusercontent.com/eIcSFD45rx1rUsjAPkR9gp5mOuZPLW0R8k0kxYnHVm_pJoYrZGqwhqNyMiTYu-hH_1n5oybUxvOQO1ZZvUcAFw=s90,,
10,Lightened Up 7-Layer Dip,,,http://www.yummly.com/recipe/external/Lightened-Up-7-Layer-Dip-1192698,600,1,,,http://lh3.googleusercontent.com/NlTUgP_ehiLupvmVw3PKim0_aCRaJBifWcaYx9ordJOZX_NhowWFhhDnVPjGBf7aUkj3PvzIWw8l9QP0Ctwqsw=s90,,
11,Sriracha Popcorn,,,http://www.yummly.com/recipe/external/Sriracha-Popcorn-1474931,1200,1,,,https://lh3.googleusercontent.com/IcRIToi7eVSYHbNOIzDIrecGeiXqn9wZynkJyk2IZx3FwakW-y2-DbePYjbdYEBaAtLcX-VxbTq_LjbwdHXZOA=s90,,
12,Kale Salad with Farro and Honey Dijon Dressing,,,http://www.yummly.com/recipe/external/Kale-Salad-with-Farro-and-Honey-Dijon-Dressing-1472383,900,1,,,https://lh3.googleusercontent.com/qz1IXaP-HhglktkNEpaxKEuJHqW6g9iBKy901HSmhOSMk-nrfX6KTDI18EfNlGEDyj7ObiXMohMiojwMwfsyGw=s90,,
13,Curry Potatoes,,,http://www.yummly.com/recipe/external/Curry-Potatoes-1438936,1500,1,,,https://lh3.googleusercontent.com/tzjGFtJy6c-R9U9rcmFIq68pqOA0vFGpl61cVmqUc9b1eSsQrll2kt-cM3Ngo0VOMZseA6-ktPZ6ahmOGkMTC7Y=s90,,
14,Pastrami Spice Blend,,,http://www.yummly.com/recipe/external/Pastrami-Spice-Blend-1477856,1500,1,,,https://lh3.googleusercontent.com/ME_I7xIuyPxstPPs5uV7awcHvu4aipWXQRqrvOUpN4CTO_-RCxqKMX8TEOlvd2CCTnEVvGIRh8nDcyABnxXR=s90,,
15,Obsessively Good Avocado Cucumber Salad,,,http://www.yummly.com/recipe/external/Obsessively-Good-Avocado-Cucumber-Salad-1066048,900,1,,,http://lh3.googleusercontent.com/Vfv_kuyk_AV_ckczL_ZiG2GNVWdz0HdWmNVArvyJOFyike37tgrS9XXjU9Yfc02a_0Im_GGG6XaTx-lMSs07YA=s90,,
16,Parmesan Zucchini Noodles with Tomato & Basil,,,http://www.yummly.com/recipe/external/Parmesan-Zucchini-Noodles-with-Tomato-_-Basil-1272003,1200,1,,,http://lh3.googleusercontent.com/I8RXURD33cEVpm02UB_3kJJM8MdiBkDtedmtFRJ0rapmZpqfIGmcH80-Y_VgbN979dDCvQoUA9ohrecbfBFJGg=s90,,
17,Toasted Corn & Zucchini Saute,,,http://www.yummly.com/recipe/external/Toasted-Corn-_-Zucchini-Saute-1469566,1500,1,,,http://lh3.ggpht.com/GE9nIh_zq6pXCZUdli7ZjRC7cxqeVyWTUuAUEZYcUPxJ65ove4wl_2pR7LFAemON9LzpzpsYArekEX0UpWlxjdY=s90,,
